texto,label
"Excelente qualidade, entrega rápida. Amei o produto, pipoca sequinha",positivo
"Produto de ótima qualidade, recomendo a todos a compra.",positivo
"Na realidade, o produto é bom. Porém eu estava querendo comprar um que tivesse a opção de água gelada. Olhei vários modelos e na hora de optar, me enganei. Porém é um bom produto. Só vou precisar comprar outro, mais prá frente, pois eu queria com água gelada.",neutro
"Fiz a compra pela loja Americanas.com, porém a transação é realizada pela loja Dominio. Devido a demora e mal atendimento dessa loja cancelei o pedido.",negativo
"ótimo recomendo pra todos, asdsadasdsadsadsadsadsadasd",positivo
"Muito bom acabamento, regulagem bem variada. Ainda não instalei mas gostei muito do produto até o momento.",positivo
o produto é simples porem cumpre muito bem o que promete.,neutro
"Se não sabe mexer com Linux nem compra, produto é bacana pra quem tem conhecimento em informatica.. ;D",neutro
"Não torra parelha,depende a temperatura queima o pão, o botão para descer o pão tem que apertar com força para descer",negativo
É um bom aparelho até  agora   não  me deu problema eu  recomendo. recomendo,neutro
oi? Tem que vender muito hamburguer pra pagar essa bandeja? kkkkkkkkkkkk só rindo!,positivo
NÃO RECEBI O FREEZER ATÉ HOJE... E SOLICITEI O CANCELAMENTO DA COMPRA DESDE O DIA 03/01 POR VALE-COMPRAS E ATÉ AGORA OS VALES NÃO ENTRARAM. JÁ PAGUEI A PRIMEIRA PARCELA DESTA COMPRA E O MEU PROBLEMA NÃO FOI RESOLVIDO.,negativo
"Produto excelente. Atendeu a minha expectativa, resistente.",positivo
"quando ligo a lampada, assim que ela esquenta começa a piscar e nao para mais, sendo assim nao da para pra usar, tenho que desligar a lampada e esperar ela esfriar para ligar de novo.",negativo
PRECO MUITO ALTO PARA UM NUMERO TAO REDUZIDO DE PECAS,neutro
Produto muito bom no preparo de bolo de excelente perrforma  pra preparo de massa.,positivo
"Produto superou minhas expectativas!!!Excelente, rápido, silencioso, fácil de montar e desmontar as peças. Produto incrível!!!! Muito bom!!! Super indico e desejo que todos possam ter um desses em seus lares! É a salvação!",positivo
"Muito bom, leve, potente. Marca taiff é excelente.",positivo
O produto é bom porem quando coloco na velocidade máxima ele fica fazendo um barulho tipo como se tivesse algo folgado.,neutro
"não gostei pensei que fosse  220 volts, e era para vir com adaptador",neutro
"Como posso avaliar um produto que eu ainda nem recebi, e que já a está a 1 mês atrasado a entrega ? Fica difícil avaliar assim!",negativo
"O aparelho é lindo, a tela é grande mas ele trava demais.",neutro
"A mesa é igual ao desenho,so o tampo de vidro q nao fica grudado.Mas o custo benefício é bom.",positivo
"Minha Mãe pede e eu compro. Ela adora! Compro a cada seis meses. Ela sempre diz que, é o suficiente.",positivo
"Comprei esse tablet para presentear meu neto e o produto que vcs enviaram n é o que comprei. Estou muito chateada, enviaram um tablet c teclado, sem os desenhos, bem diferente do que o que eu pedi. Espero que vcs encaminhem o produto correto e façam a troca.",neutro
"Veio com defeito, não recomendo de modo algum. Comprem em outra loja, não na americanas",negativo
"Produto de ótima qualidade, eu recomendo o produto",positivo
"É o primeiro iPhone que adquiro, pois até então era usuário ávido de celulares com sistema Android. Imediatamente pode-se perceber a qualidade que vai desde a embalagem até o produto em si, com bastante capricho aos detalhes. Afinal, trata-se de um produto de preço elevado. Embora, ainda sim, não acho que se justifique o preço que é cobrado aqui no Brasil. Mas as Americanas apresentou uma oferta extremamente atrativa.  Para alguém que nunca usou iPhone, achei super fácil de configurar de primeira. Creio que o único ponto crítico nesse modelo (iPhone 8 Plus) é o fato dele possuir a traseira manufaturada em vidro, o que aumenta significativamente a cautela no que diz respeito à possíveis quedas. Embora o fabricante alegue se tratar de um vidro reforçado, ainda sim, transmite um certo receio ao manusear. Recomendo a aquisição de uma capa/case ao adquirir este produto.  Fora este detalhe, o produto é excelente. Possui um touch com excelente tempo de resposta, apps extremamente fluídos e um dos principais motivos que me fizeram adquiri-lo , a câmera. Esta última é simplesmente uma das melhores câmeras disponíveis num celular. Até então, é o melhor celular que já tive.  Com certeza recomendo este produto.",positivo
"Gosto de comprar nas americanas , os produtos são ótimos e chegam rápido",neutro
Excelente obra do autor. Conta com riqueza de detalhes a luta e dedicação dos pais na busca da realização do sonho doa filhos.  Ainda não acabei de ler mas estou adorando. Parabéns. Recomendo.,positivo
"Infelizmente não posso avaliar o produto que não tenho. Foi o primeiro produto que deu problema e agora está sendo o único sem solução. Foi uma bagunça no pedido inteiro, recebi apenas dois dos produtos, um deles foi estornado agora e esse desde o ano passado ainda não foi estornado. Fico no aguardo de uma solução. Grato.",negativo
Muito bom. Minha filha não larga mais. Desde já agradeço a atenção.,neutro
"Que bom que a Lojas Americanas me ressarciram em vale o que gastei. Na foto estão seringas com ponta que dá pra usar no snap fill mas o que foi enviado eram seringas sem ponta, impossíveis de utilizar no snapfill, nem a agulhas que vieram cabiam nas seringas entregues. E a terceirizada de voces ainda queria que eu devolvesse na embalagem original (sendo que vem tão lacrado que é impossível manter inteira a caixa de papelão e não tenho condições físicas de ir aos correios para devolver. Mas, agradeço o ressarcimento que já troquei por outros procutos. Nas lojas Americanas confio, já neste fornecedor terceirizado de voces, a Recartec Brasil, não compro mais nem amarrada pelo descaso que tiveram comigo (no pós atendimento de tentar adquirir o produto correto e eles satirizarem)",negativo
"Odiei a maleta pra começar.  primeiro veio com a alça solta, eu que tenho que parafusar a alça, segunda a parte de colocar os esmaltes é solta tbm, como os esmaltes cai ficar de pé se qualquer movimento com a maleta a placa que segura os esmaltes sai? Quando fui comprar disseram que entraria em contato comigo pra eu escolher a cor da maleta e isso não aconteceu, veio um coisa horrível de madeira, eu vou ter que pintar essa porcaria? Peço que entre em contato comigo, quero a troca do produto.",negativo
produto muito bom para quem que um som de qualidade mas não é um som para quem quer tremer tudo,positivo
O carrinho É muito bonito com material de excelente qualidade fácil de montar e de fechar e abrir.  As rodas são um pouco leves mas eu recomendado o carrinho.,neutro
"Boa noite a justificativa da insatisfação e por que o produto nunca chegou ate a mim pois não tenho como avalia o mesmo difícil a minha situação, comprar e ate o presente momento não ter recebido",negativo
